,confidence(%),true data
0,8.110979645,608.66
1,10.25736748,598.88
2,9.229873323,597.42
3,8.705984177,594.08
4,5.930869402,603.88
5,6.856071607,601.74
6,7.988351651,598.98
7,6.877515099,605.96
8,7.847720504,605.67
9,8.746432958,603.85
10,8.368222106,609.39
11,8.033231057,614.82
12,9.401923728,612.98
13,9.585234915,611.85
14,10.05227544,609.62
15,10.1499935,607.18
16,8.331134612,612.08
17,7.528771094,617.21
18,8.728338507,614.74
19,8.751236108,615.65
20,8.520222766,617.54
21,9.345786279,614.77
22,6.083594982,635.01
23,7.888729313,635.96
24,9.917691781,634.02
25,9.909783546,637.94
26,9.72915145,641.42
27,10.63758913,638.97
28,10.84826843,636.29
29,11.26622011,629.25
30,10.37867511,627.72
31,7.727291494,631.92
32,4.023022443,655.48
33,7.008804377,653.25
34,9.16923629,651.39
35,9.49653651,655.31
36,10.8178899,651.45
37,6.085756641,682.22
38,7.932658846,687.68
39,10.65440605,685.91
40,10.21067486,698
41,10.38918568,702
42,12.21413029,697.01
43,7.105658092,733.33
44,16.33329408,686.17
45,14.63256543,683.69
46,7.845207938,704.79
47,6.561097118,712
48,8.073700974,709.96
49,8.790999155,708.97
50,7.679287557,720.93
51,9.201364538,721.5
52,9.293500043,715.45
53,12.53298388,703.71
54,11.20572956,702.28
55,8.326913731,706.46
56,6.867727222,710.91
57,7.208285803,711.73
58,4.650358691,736.96
59,5.709335753,747.52
60,8.591705568,748.98
61,13.50384912,729.06
62,11.65009689,738.53
63,11.17508399,736.97
64,9.556398774,741.63
65,9.799598545,737.45
66,9.808127448,735.64
67,8.923052766,733.67
68,8.940673431,727.96
69,8.140039197,727.31
70,7.581624343,732.71
71,6.072729106,742.69
72,7.507059606,742.05
73,4.563443649,772.43
74,8.951572967,764.33
75,10.82245961,762.97
76,12.44688316,754.63
77,11.37903551,756.62
78,10.08276189,758.99
79,7.993720257,769.72
80,8.347340622,770.02
81,9.394813034,769.08
82,7.821774244,777
83,9.001486862,777
84,9.363586759,777.99
85,10.24526565,774.89
86,9.658576056,776.75
87,9.529212463,775.88
88,7.354689027,788.7
89,8.324046853,788.4
90,9.126361527,788.67
91,8.819586847,793.09
92,5.682755507,824.21
93,7.109196025,834.97
94,2.808969343,901.31
95,10.0757704,891.61
96,13.63638177,892.6
97,14.31157446,897.33
98,10.84498078,930.37
99,12.32581436,930.34
100,9.6753356,963.38
101,12.76013626,952.15
102,12.97178533,958.12
103,7.949402273,997.72
104,8.763019046,1015.97
105,11.65911676,1013.42
106,2.893916136,1126.76
107,21.81620418,994.67
108,18.5630185,999.65
109,25.81999413,896.83
110,13.2338788,908.14
111,4.558601644,910.49
112,-0.388315445,906.05
113,11.65377144,785.22
114,2.894295606,780.92
115,-15.71358215,826.29
116,-7.541947758,817.91
117,-6.714497533,819.55
118,0.108884707,830.5
119,-4.525435829,903.84
120,2.764603325,906.6
121,9.433166945,895.798875
122,15.26808038,893.6210875
123,14.92646661,895.64
124,10.37349725,918.603625
125,10.60835482,922.0736125
126,11.50783819,919.97
127,14.82673157,893.045625
128,8.522307404,915.95625
129,8.459332257,915.05
130,8.224102855,920.31225
131,9.265089437,915.933
132,9.829928905,912.19
133,3.631202581,964.706075
134,5.429371089,979.703875
135,8.718341508,983.42
136,9.062164349,1013.027
137,9.741444092,1030.999413
138,12.03690575,1034.07
139,14.24352796,1024.01375
140,11.38010822,1050.11
141,11.91666851,1052.84
142,19.2647951,976.103
143,11.6510183,999.1035
144,8.983886333,997.59
145,6.304911292,1000.604625
146,5.626653681,999.877375
147,5.872266089,1001.2
148,5.983626567,1012.325988
149,4.435827232,1035.208125
150,6.66237087,1035.2
151,8.427510938,1056.637138
152,10.25811556,1052.779286
153,11.44779535,1050.87
154,4.954100226,1123.788429
155,8.826409587,1123.223188
156,11.07715693,1130.01
157,8.973320901,1174.86625
158,13.68497309,1150.605714
159,14.14972129,1150.37
160,9.671824587,1190.75195
161,11.19764276,1187.565286
162,11.78265776,1190.89
163,5.571328954,1259.410817
164,7.322279348,1285.14
165,11.00102846,1287
166,13.86774091,1270.9333
167,14.02466925,1275.197375
168,12.99614916,1279.5
169,22.01200461,1157.3933
170,11.2814674,1192.469143
171,7.097814653,1192.09
172,4.528547868,1179.159875
173,-0.697395356,1227.494625
174,2.27114236,1227.68
175,4.433686476,1245.370786
176,6.373461296,1257.399625
177,8.424132892,1257
178,27.28528407,1091.171888
179,31.91284935,952.2323625
180,9.61315901,967.69
181,-11.51909994,1049.084488
182,-18.9144209,1118.630043
183,-9.684755059,1113
184,4.762858187,1038.789
185,15.77167317,941.9197143
186,9.090882546,927.93
187,3.062352171,956.7863125
188,-4.914069809,1037.22925
189,-0.682820433,1041.04
190,3.341001552,1040.5755
191,6.129491303,1037.90455
192,9.100658002,1034.74
193,6.622694766,1086.929571
194,9.514170861,1099.169125
195,13.67956204,1079.99
196,8.134226552,1141.600363
197,10.51386585,1133.079314
198,12.12090871,1133.53
199,7.860508312,1190.45425
200,11.49725363,1181.149838
201,12.81004797,1184.03
202,10.55580713,1207.744875
203,9.941923171,1226.617038
204,12.4590813,1219.09
205,15.08698207,1180.023713
206,12.5551535,1185.260057
207,11.93701743,1170.36
208,7.107116439,1186.927413
209,5.486735625,1205.634875
210,9.164714823,1176.97
211,5.21807006,1217.930088
212,4.92648068,1241.686325
213,8.230844215,1236.63
214,8.73312733,1261.311225
215,10.69656774,1257.988113
216,13.16178701,1240.84
217,8.985657037,1279.414688
218,7.273293108,1309.109875
219,11.62426824,1288.02
220,8.261116658,1331.294429
221,9.654832544,1334.979038
222,11.43144445,1333
223,5.604142123,1417.172813
224,7.022056681,1452.076288
225,11.75253173,1447.55
226,9.487732623,1508.292125
227,10.64940979,1533.335071
228,14.56033084,1518.75
229,13.43145943,1535.868429
230,7.09755785,1640.619225
231,10.27245771,1651.1
232,6.114686276,1762.88625
233,8.091454623,1820.990563
234,13.0414194,1829
235,18.87268788,1771.920013
236,17.33807766,1776.3165
237,15.14741466,1780
238,15.4672926,1739.031975
239,7.579998638,1807.485063
240,9.537077394,1783.98
241,-0.326174318,1961.520488
242,1.169274911,2052.909788
243,10.75331516,2008.84
244,10.99201092,2090.662313
245,5.361984215,2287.710288
246,12.80912276,2256.32
247,10.50345582,2387.206286
248,22.34279638,2211.976857
249,17.10424545,2279.82
250,18.58777765,2192.9808
251,9.915639372,2275.9307
252,8.986907734,2290.02
253,9.257210421,2285.933914
254,3.457673761,2399.242671
255,7.437147208,2409.93
256,4.42042188,2525.765158
257,11.17414911,2516.173143
258,12.3686572,2529.53
259,1.672882593,2883.313697
260,16.52958135,2664.920863
261,16.67323966,2683.03
262,10.8905197,2827.4913
263,11.36564219,2845.372857
264,11.00589656,2898.63
265,21.23695673,2657.675063
266,13.28617486,2748.185086
267,12.68887538,2706
268,16.97665339,2442.48025
269,9.724121652,2464.959814
270,2.979727071,2477.94
271,-2.53405183,2507.389252
272,-5.565388078,2617.210263
273,-0.979223563,2600
274,4.107430287,2671.04325
275,4.942611527,2727.288013
276,9.36392949,2713.48
277,18.08492547,2589.164888
278,17.98046597,2512.366286
279,12.98994382,2502.03
280,7.70802616,2517.903114
281,2.026754623,2585.349186
282,4.866377921,2558.3
283,8.660469083,2477.641375
284,6.155893538,2501.191343
285,8.956073848,2421.26
286,2.606986205,2561.225429
287,3.812240882,2599.729838
288,7.018984788,2598.89
289,8.964052426,2609.96775
290,14.56422482,2491.201214
291,11.86794917,2502.86
292,8.870770154,2536.238938
293,14.50173289,2366.170143
294,12.12924618,2327.09
295,3.201413762,2385.748571
296,2.794189982,2354.783417
297,3.042021072,2338.49
298,15.24208215,2058.9956
299,14.79093369,1931.2143
300,2.673794636,1910.96
301,-22.81156805,2320.12225
302,-8.681525833,2264.7657
303,0.956298407,2265.21
304,-8.018596472,2682.195363
305,1.053730908,2807.609857
306,10.52013738,2825.51
307,20.35581855,2751.821029
308,29.26724603,2560.997917
309,23.438722,2564.3
310,11.29405199,2647.625
311,4.307182398,2781.636583
312,7.448073411,2784.8
313,8.964260556,2745.955417
314,5.49642853,2866.431667
315,8.694078598,2862.9
316,17.21603459,2693.633983
317,11.51860337,2794.117717
318,10.47417975,2790
319,-3.749892803,3218.115017
320,3.012995811,3252.562533
321,11.94661702,3210.2
322,8.692895786,3457.374333
323,16.06546884,3357.326317
324,17.36080652,3340.28
325,8.368595643,3632.506667
326,5.581348865,3852.802914
327,11.41698909,3868.52
328,4.206561813,4282.992
329,13.24956364,4217.028329
330,18.23070477,4179.97
331,14.22656423,4328.725717
332,20.33702644,4130.440067
333,18.22259249,4104.71
334,12.4750024,4157.958033
335,12.59979134,4043.722
336,11.61204151,3986.28
337,1.952444769,4174.95
338,0.773108086,4340.316717
339,5.920102473,4331.77
340,7.702204887,4360.513317
341,11.55787132,4354.308333
342,12.7675344,4339.05
343,6.011826202,4607.98545
344,9.682210297,4594.98785
345,12.39302786,4582.52
346,5.880075105,4911.740017
347,16.61115675,4580.38748
348,15.26449181,4585.57
349,18.53299262,4344.098317
350,9.351871381,4488.72014
351,9.483130948,4385.02
352,0.071427183,4654.6585
353,10.85256038,4310.750183
354,9.336670435,4312.26
355,4.435352952,4329.955
356,7.838759895,4248.090017
357,6.8520793,4198.59
358,12.47854488,3961.271267
359,24.55788984,3319.63
360,10.7426194,3216.43
361,-21.68445946,3763.62604
362,-15.47650911,3746.060783
363,-7.635514216,3678.53
364,-7.918469617,3943.413333
365,0.743876158,3977.561667
366,9.01056179,3894.48
367,19.23332612,3637.50255
368,13.79187697,3776.3869
369,11.69622662,3777.62
370,3.147923173,3942.555
371,6.729750865,3910.307383
372,10.28690757,3881
373,1.960259855,4201.98905
374,7.079012096,4193.574667
375,11.7337429,4164.27
376,9.740920229,4360.722967
377,11.24359219,4386.88375
378,13.05709433,4394.07
379,17.19934406,4225.175
380,12.08834932,4338.852
381,11.91691072,4318.58
382,8.137269652,4376.191667
383,3.92836924,4602.280883
384,7.96012947,4605.66
385,6.416550249,4782.28
386,9.612352608,4819.485767
387,12.243446,4822.17
388,0.490748254,5563.806567
389,5.260885199,5739.438733
390,11.33821116,5825.99
391,18.47130977,5711.205867
392,20.93429075,5603.71294
393,18.74848673,5594.66
394,12.64721639,5727.6335
395,7.211203668,5979.45984
396,9.938430451,5986.44
397,10.0940808,5983.18455
398,12.98730846,5876.079867
399,11.58495099,5900.59
400,15.06128723,5669.622533
401,7.858410596,5893.138417
402,7.646938024,5889.82
403,9.580532357,5776.69695
404,1.992641489,6155.43402
405,6.111581088,6136.49
406,5.191054903,6388.645167
407,5.702468739,6665.306683
408,9.27307889,6751.98
409,7.432281327,7197.72006
410,8.888883549,7437.543317
411,14.71890904,7365.99
412,22.66016834,6989.071667
413,17.09542295,7092.127233
414,13.75202988,7128.64
415,10.7748676,7158.03706
416,15.66616515,6719.39785
417,13.47318839,6569.22
418,21.07346966,5716.301583
419,-6.818216797,6550.227533
420,-5.97059949,6493.63
421,-11.12982245,7301.42992
422,-6.491540649,7815.0307
423,5.028209899,7868.77
424,13.503863,7817.140383
425,15.25557022,8007.654067
426,15.78643542,8049.72
427,16.92298616,8059.8
428,12.12271955,8268.035
429,13.64035572,8236.72
430,12.30893269,8250.978333
431,5.988719617,8707.407267
432,8.456121165,8768.8
433,1.750456286,9718.29505
434,6.602144036,9952.50882
435,13.31581142,9919
436,14.27393949,10147.372
437,8.917272572,10883.912
438,13.14596037,10879.88
439,11.53968575,11332.622
440,12.05209835,11584.83
441,15.08688327,11591.22
442,0.416611514,13540.98
443,-8.476804154,16501.97167
444,4.638389123,16860.88
445,27.06827928,15142.83415
446,29.0283198,14869.805
447,22.9598443,15068.95
448,3.954862201,17276.39333
449,10.91648184,16808.36667
450,18.18375197,16252.31
451,7.70025488,17771.9
452,0.249103769,19498.68333
453,9.018633272,19279.9
454,17.20014458,18961.85667
455,25.69338287,17737.11167
456,22.82737324,17382.94
457,22.09734618,16047.51
458,16.71882248,15190.945
459,14.93873354,13776.61
460,-4.988434783,13949.175
461,-18.74790159,14119.02833
462,-17.10828747,13740.94
463,-24.51109374,15589.32167
464,-3.144763423,14380.58167
465,2.93002536,14214.01
466,14.75903632,13215.574
467,3.893747951,14165.575
468,8.27746886,13796
469,-1.245364293,15005.85667
470,3.470168673,15053.26167
471,9.556881667,15039.24
472,-3.122581975,17174.12
473,7.098743282,17319.198
474,14.35104965,17155.95
475,30.92990003,15265.90667
476,26.86443389,14714.25333
477,18.82310645,14437.42
478,15.49943703,13296.794
479,-1.32042661,13912.882
480,-3.712427325,13791.19
481,-9.668583842,13852.92
482,-8.14755525,14012.196
483,-1.066483979,13554.14
484,26.11712942,11116.94667
485,9.934042692,11345.42333
486,-0.565869727,11174.82
487,-17.56775625,12950.79333
488,-1.886173801,11505.228
489,0.059014226,11513.42
490,3.352722235,11223.064
491,0.673804007,11282.25833
492,-0.159410667,11392.03
493,10.34399364,10969.815
494,2.747677568,11524.77667
495,6.357593766,11431.37
496,4.316853139,11212.655
497,18.96441847,10184.06167
498,12.38726654,10082.52
499,16.42876902,9083.258333
500,4.896742216,8901.901667
501,-5.759772449,8852.73
502,-5.046315836,8400.648333
503,5.222483088,6838.816667
504,-13.51344593,6925.46
505,-34.79203277,8099.958333
506,-24.48700949,8240.536667
507,-14.20074268,8245.08
508,0.054364859,8319.876566
509,6.780762396,8343.455
510,13.00438353,8068.02
511,6.388120959,8597.7675
512,3.370067237,9334.633333
513,8.217018615,9471.64
514,5.237736728,10127.16167
515,5.532666542,10841.99167
516,10.86149413,11085.83
517,15.75194278,11110.965
518,15.32936803,11390.39167
519,18.56134147,11245.98
520,31.43149914,9931.071667
521,18.00435156,10162.11667
522,10.60226968,10171.3
523,9.686321988,9696.593333
524,-3.076690236,10348.60333
525,-1.087462299,10319.46
526,1.882213696,10370.165
527,-1.349425206,11009.38167
528,5.360116597,10931.12
529,8.708345843,11326.94833
530,10.65362403,11430.18167
531,12.08981581,11516.83
532,21.40080045,10763.19833
533,22.6725184,10118.058
534,16.05507374,9920.46
535,16.39810568,9089.278333
536,5.732901232,8746.002
537,-5.041822269,8777.37
538,-15.36174848,9182.843333
539,-12.7399836,9154.7
540,-8.713655743,9153.54
541,7.76955752,8358.121667
542,5.33408878,8530.402
543,5.746454605,8297.89
544,6.521361475,8171.415
545,1.562096271,8412.033333
546,0.074777032,8605.64
547,-1.646427308,8947.753333
548,6.872295545,8690.408333
549,8.52906064,8725.37
550,12.66065852,8662.378333
551,11.63549384,8617.296667
552,12.58610664,8457.96
553,17.80120606,7876.195
554,9.188006739,7960.38
555,4.374315619,7950.61
556,14.77827356,6882.531667
557,4.07662602,6935.48
558,-4.092097812,6937.56
559,-8.870121049,7035.848333
560,-12.28321633,7410.435
561,-5.580944328,7426.48
562,11.57680014,6826.51
563,12.46416129,6603.876667
564,6.30775585,6634.68
565,1.526168225,7017.656667
566,6.802804411,6699.273333
567,5.114829977,6784.41
568,3.834443444,6926.266667
569,-6.513060464,7847.845
570,1.641874658,7941.46
571,10.07499874,8036.511051
572,11.54587906,8340.748333
573,15.01023855,8368.1
574,21.97778943,7895.416926
575,15.29461283,8164.937426
576,13.16291393,8175.96
577,4.292253585,8852.718333
578,7.356751073,8807.205
579,9.590794952,8930.6
580,12.46491867,8933.861667
581,6.473494042,9555.542
582,9.308276495,9658.11
583,17.79870462,9258.398333
584,19.1900768,9010.32
585,16.57889764,8928.55
586,6.535050553,9334.281667
587,7.578075878,9259.57
588,8.07294949,9239.55
589,9.218308801,9221.426
590,3.646018622,9639.268333
591,5.254363019,9753.35
592,8.878571234,9803.306667
593,13.31628295,9630.136277
594,13.28974757,9631.44
595,15.7026269,9228.608333
596,10.88335841,9322.041667
597,8.443010807,9310.37
598,16.71553229,8468.788
599,7.956440028,8484.346667
600,2.492901883,8463.52
601,-2.677364725,8652.038333
602,0.401533011,8511.458
603,1.676359548,8471.06
604,8.574307323,8106.118333
605,4.150608534,8240.055
606,3.006175395,8239.08
607,2.973510428,8507.406667
608,6.505135244,8385.556187
609,7.828062763,8396.63
610,18.75294843,7555.74
611,12.08651128,7566.193333
612,5.584523952,7576.78
613,5.926464307,7342.908333
614,1.330691938,7361.831667
615,0.498908285,7344.56
616,-1.927243344,7459.876667
617,1.834282685,7385.395
618,2.868715278,7386.72
619,5.771730769,7535.146667
620,5.868445851,7645.146667
621,7.960107215,7637.14
622,11.92718939,7500.273333
623,9.707304813,7615.722142
624,9.765862316,7619.43
625,8.58974209,7676.271667
626,10.01163708,7620.153333
627,9.985491762,7615.54
628,21.38019528,6776.888333
629,10.85832684,6875.678333
630,4.493870537,6879.31
631,9.659142592,6315.7
632,-2.991265247,6647.013333
633,-3.481855215,6637.41
634,-0.640165375,6509.426667
635,1.220064976,6464.411667
636,1.622884477,6445.79
637,2.30637579,6737
638,4.855679112,6714.718333
639,6.288900598,6760.83
640,17.25523327,6332.573333
641,15.47262616,6141.605833
642,9.258108899,6170.46
643,5.016188476,6211.4475
644,3.487928403,6218.595
645,5.794175132,6097.46
646,3.871691756,6107.896154
647,7.477988057,5908.7025
648,0.305300201,6223.28
649,2.265419902,6374.754167
650,5.265115075,6466.069167
651,6.449435047,6626.44
652,10.59670286,6593.289167
653,12.1898972,6603.376667
654,13.72294976,6555.51
655,12.03126159,6594.281667
656,9.537857965,6753.559167
657,9.971018453,6724.04
658,13.4022473,6510.791667
659,13.4726132,6377.363333
660,9.23768036,6403.18
661,9.626942957,6244.3575
662,6.680023039,6241
663,5.129575184,6248.84
664,0.797384943,6514.390833
665,-1.542504964,6869.910833
666,-0.873586408,7321.62
667,7.218578778,7396.401667
668,12.93098445,7428.045
669,16.94895039,7334.99
670,15.28073282,7451.289167
671,11.39026252,7689.884167
672,12.09066105,7715.1
673,6.101047315,8251.165
674,10.92496123,8187.324167
675,15.94124448,7939.81
676,12.09888426,8182.251667
677,11.89817757,8206.341667
678,11.89088159,8220.91
679,15.38767638,7916.800833
680,16.71080494,7570.869167
681,10.85913431,7607.7
682,7.783040153,7394.499167
683,5.882053073,7247.769167
684,6.647308035,7011.28
685,1.759477261,6988.079167
686,-0.679890064,6993.513333
687,2.261960045,6718.23
688,6.250866426,6396.7725
689,3.254310654,6396.494667
690,3.209078642,6138.96
691,-2.548380348,6311.131667
692,-2.646208689,6347.07
693,1.745150728,6252.13
694,1.349090352,6362.676923
695,3.640477538,6342.629231
696,6.897275789,6312.75
697,6.872821778,6436.720833
698,8.403888601,6404.063333
699,8.760569544,6486.58
700,10.36494412,6401.246154
701,7.393290507,6575.229167
702,12.47672562,6354.57
703,7.852689316,6543.645714
704,6.005249341,6719.429231
705,8.195189785,6738.27
706,9.999452254,6719.266154
707,7.164762745,7000.04
708,8.552981099,7078.19
709,13.4305736,6932.6625
710,12.07339932,6981.946154
711,11.95140301,7018.78
712,7.959184627,7247.935385
713,8.986254063,7260.949231
714,10.44167654,7265.08
715,13.6913655,7113.069231
716,22.2319546,6433.271667
717,12.27059041,6501.19
718,8.309167154,6366.1075
719,3.77633355,6286.425833
720,1.004872222,6240.98
721,-2.273313211,6296.320833
722,-0.834429173,6273.1375
723,-0.186264044,6326.04
724,0.063786418,6499.0625
725,6.504011275,6518.655
726,8.307781654,6522.39
727,12.05078212,6400.600833
728,13.14661485,6296.631667
729,10.26294247,6342.39
730,7.365352388,6418.562667
731,3.903380208,6669.990833
732,5.612523674,6756.12
733,9.083434991,6710.445
734,11.96875449,6639.304167
735,12.65146318,6583.45
736,13.35502757,6468.631667
737,9.956183427,6535.476667
738,6.25706844,6686.08
739,9.136960419,6550.474167
740,7.555474049,6593.135
741,7.399601605,6611.02
742,8.778039658,6562.641667
743,10.17589019,6470.4025
744,8.842242333,6483.73
745,7.14592732,6568.549167
746,7.10165464,6581.486667
747,7.304411622,6573.62
748,7.90420065,6618.567692
749,8.476894216,6621.711667
750,8.812372992,6626.85
751,15.11619994,6248.635833
752,11.27065498,6260.530833
753,8.035045743,6247
754,4.609167547,6299.399167
755,2.102595662,6452.571667
756,2.425702198,6599.17
757,6.02850379,6596.276154
758,9.152858446,6568.040769
759,10.97431429,6509.61
760,12.2011792,6488.825833
761,10.14775122,6531.601667
762,9.93234321,6504.78
763,9.593318529,6481.426
764,8.193941527,6508.31
765,7.954864612,6489.77
766,8.224861369,6473.753333
767,8.291114913,6465.9175
768,8.454770826,6457.21
769,9.452678168,6382.668333
770,9.464221788,6309.452857
771,8.237387977,6301.61
772,6.639553124,6342.280833
773,5.751330913,6387.674167
774,6.611549152,6390.42
775,7.547384764,6391.873333
776,7.560275226,6436.965
777,8.349558741,6437.76
778,7.579137898,6538.79
779,9.80182949,6486.251667
780,10.72567054,6444.97
781,10.79684918,6399.033333
782,9.863022728,6378.268333
783,8.292646584,6408.53
784,8.472762253,6372.063333
785,10.96334736,6176.155
786,15.83799226,5756.77
787,11.19979448,5596.1925
788,4.566816878,5558.243333
789,-0.737227267,5572.44
790,2.036690299,5303.9425
791,11.06534762,4671.97
792,3.114375088,4491.98
793,-9.470934997,4548.7975
794,-9.750377318,4309.3375
795,-12.37402955,4352.98
796,-0.86824231,3823.511667
797,-10.75584384,3920.536667
798,-12.25252871,3793.35
799,-18.56903042,4103.453846
800,-10.24096979,4263.783333
801,-1.132061052,4278.77
802,8.25395006,4116.7775
803,10.50909332,4167.546667
804,10.46971548,4140.6
805,16.79718642,3961.493333
806,14.3087315,3858.349167
807,12.90869804,3744.98
808,14.65049723,3405.643333
809,1.680826128,3435.34
810,-5.537454841,3453.66
811,-7.601355853,3523.96
812,-3.660432891,3426.19
813,-1.517794452,3407.28
814,1.672804521,3406.7625
815,6.906234468,3278.374167
816,6.572834986,3242.42
817,6.152772937,3271.238333
818,1.255937222,3392.405
819,-0.685195622,3556.54
820,-1.808315237,3808.0425
821,3.180332056,3982.850833
822,7.540059205,4135.19
823,19.59199908,3910.973333
824,16.76852704,4027.478333
825,17.09459552,3995.17
826,20.13700923,3813.88
827,14.61316383,3825.379167
828,9.811193816,3848.21
829,9.565380821,3743.905
830,2.117152139,3912.285833
831,6.19170777,3770.36
832,7.438379285,3791.545833
833,7.39189212,3752.271667
834,4.307845571,3855.88
835,6.713102801,3865.7975
836,9.033489771,3822.626667
837,8.239063402,3856.62
838,7.969325984,3920.456667
839,5.224900411,4036.093333
840,9.046096961,4032.25
841,10.69066606,4034.138333
842,17.70533462,3812.585833
843,18.01554146,3646.25
844,11.0703373,3646.345833
845,7.283513057,3599.841667
846,5.042443053,3531.96
847,-1.265506711,3656.785
848,0.320979758,3621.270833
849,2.303141029,3621.43
850,3.536438226,3632.395
851,5.326496973,3690.523333
852,7.845079846,3703.98
853,13.22075868,3548.4275
854,11.54751009,3540.02
855,8.397154356,3587.35
856,7.174895093,3566.4
857,6.506662563,3586.25
858,7.19137121,3577.79
859,7.66065085,3576.3
860,8.125210424,3554.5
861,10.65866816,3448.58
862,10.34729393,3421.6
863,6.500872095,3470
864,6.155445684,3444.81
865,5.272991886,3475.33
866,5.110293299,3506.22
867,8.095942573,3456.02
868,8.392672899,3452.35
869,7.848685841,3467.34
870,10.35465342,3405.7
871,9.587293957,3394.76
872,0.924944871,3661.08
873,5.319556791,3664.38
874,8.339274999,3686.29
875,12.45081445,3629.47
876,12.98152202,3632.42
877,12.69784341,3614.5
878,11.46646498,3600.31
879,10.14132314,3608.2
880,9.296176357,3619.55
881,6.087635456,3670.74
882,1.495353487,3910.8
883,6.01870375,3926.53
884,9.001598374,3987.18
885,13.20333908,3944.88
886,13.00160436,3983.48
887,9.271859187,4139.6
888,20.86457319,3766.89
889,13.70294406,3848.33
890,10.84086347,3831.45
891,7.002939939,3833.23
892,5.597968711,3850.08
893,5.835046798,3834.62
894,6.831358766,3831.44
895,7.465769834,3814.58
896,8.051130583,3730.98
897,5.962921404,3872.25
898,6.292126209,3876.85
899,7.539251577,3886.82
900,9.065520356,3875.96
901,7.659707773,3950.56
902,9.63854391,3928.17
903,11.25951599,3881.09
904,10.23798873,3892.51
